No,evaluation,carSpace,floorSpace,storeFrontTraffic,frontage
1,0,0,22,1210,850
2,0,2,35,4283,970
3,0,2,26,2982,730
4,0,5,39,3478,1000
5,0,0,23,2581,850
6,0,0,34,2240,1150
7,0,3,31,12197,730
8,0,0,21,10585,1090
9,0,0,40,13660,820
10,0,5,42,4714,760
11,0,0,39,4596,1180
12,0,5,39,4174,1090
13,0,0,30,14376,550
14,0,0,24,2560,970
15,0,0,29,8214,910
16,0,5,32,20682,1090
17,0,4,53,4637,1000
18,0,5,43,9148,1390
19,0,0,48,12505,1240
20,0,0,23,8579,610
21,0,0,25,17506,550
22,0,0,26,7072,1240
23,0,0,31,12849,790
24,0,6,36,12869,670
25,0,0,44,9715,820
26,0,0,28,2435,1450
27,0,2,41,3942,1150
28,0,0,34,1507,1180
29,0,0,31,11537,790
30,0,0,34,6934,910
31,1,3,24,11246,460
32,1,9,38,14387,1180
33,1,4,37,17072,1030
34,1,3,21,15868,790
35,1,8,31,13680,850
36,1,12,30,12898,970
37,1,4,33,13655,1030
38,1,10,36,12469,1150
39,1,6,35,12804,1330
40,1,3,38,15101,760
41,1,4,54,16894,1450
42,1,7,43,11739,1390
43,1,6,36,14714,1150
44,1,4,32,17943,1390
45,1,3,29,12618,820
46,1,6,37,16311,1900
47,1,6,26,14492,790
48,1,13,27,16187,910
49,1,3,13,13893,505
50,1,3,37,11815,850
51,1,2,20,15547,670
52,1,5,44,15465,1360
53,1,3,36,12419,1450
54,1,5,44,16840,910
55,1,3,34,13975,1155
56,1,4,35,12469,1090
57,1,8,51,16637,1330
58,1,0,36,14352,1225
59,1,2,42,13271,1000
60,1,4,41,11880,1090
61,1,6,25,15870,820
62,1,2,46,18811,1510
63,1,3,39,14102,1210
64,1,3,39,14174,1210
65,1,5,48,11714,1630
66,1,10,40,28056,850
67,1,8,42,33094,1330